on x=-24..25,y=-36..8,z=-15..31
on x=-3..41,y=-15..30,z=-26..18
on x=0..45,y=-13..41,z=-13..32
on x=-48..-4,y=-6..39,z=-49..-1
on x=-40..12,y=-11..33,z=-24..28
on x=-40..7,y=-6..40,z=-25..20
on x=-16..29,y=-43..3,z=-23..25
on x=-20..33,y=-6..39,z=-2..49
on x=-46..5,y=-8..46,z=-1..44
on x=-29..18,y=-27..17,z=-32..22
off x=-39..-20,y=-32..-18,z=36..47
on x=-22..27,y=-5..42,z=-45..0
off x=-23..-6,y=29..40,z=-43..-26
on x=-29..21,y=-25..23,z=-9..38
off x=-45..-29,y=-6..12,z=-31..-19
on x=-12..35,y=-7..43,z=-21..27
off x=30..46,y=20..29,z=-3..15
on x=-11..37,y=0..44,z=-39..7
off x=17..35,y=-48..-38,z=-30..-21
on x=-18..27,y=-46..2,z=-5..48
on x=-55714..-36261,y=-45582..-17672,z=-64784..-38144
on x=20420..30990,y=5859..23990,z=-81923..-58134
on x=51733..60384,y=19512..31007,z=-54353..-43527
on x=-38494..-1715,y=49823..80956,z=32219..42883
on x=-83080..-64432,y=-9426..19690,z=10101..30711
on x=-20725..-15861,y=-40621..-6268,z=54269..75365
on x=-94372..-65353,y=-18033..4056,z=-29538..-20817
on x=-70683..-61419,y=13964..24514,z=-40268..-29845
on x=59524..74677,y=-17158..10596,z=-45128..-19042
on x=-28431..-15623,y=-31191..-14766,z=61175..81362
on x=-27591..-4105,y=-22406..1837,z=-78369..-57026
on x=40887..54323,y=38641..64864,z=-36950..-24803
on x=49100..74692,y=36627..64301,z=-44928..-31364
on x=21497..32658,y=-44701..-21082,z=-86865..-65876
on x=-17578..1694,y=-59751..-36678,z=-85632..-66396
on x=26500..46019,y=18298..36049,z=-80657..-58918
on x=-74816..-55918,y=735..17540,z=34836..54873
on x=-14356..3149,y=-81903..-74430,z=-1790..30440
on x=-22970..-17845,y=48427..59161,z=-66745..-37643
on x=-73008..-46471,y=26383..53800,z=13928..39666
on x=-24306..9139,y=-76013..-49332,z=45385..70270
on x=64490..73910,y=-7097..14205,z=24913..39837
on x=32000..46487,y=40044..41349,z=-61713..-52404
on x=61299..95889,y=897..15308,z=6717..28213
on x=18191..40446,y=-11534..6761,z=75267..94301
on x=23917..28493,y=-47690..-35425,z=56930..71075
on x=-23102..3183,y=23791..45146,z=-73813..-65608
on x=-25061..3725,y=53151..90834,z=-37191..-10533
on x=19734..43046,y=20259..52367,z=-69278..-60632
on x=-56868..-33736,y=-26795..5018,z=46047..67401
on x=-33074..-11410,y=22431..38827,z=-82435..-54313
on x=8370..42897,y=67312..78701,z=-4518..3751
on x=-92665..-54632,y=-34937..-29756,z=-3003..10061
on x=-51112..-39070,y=-65673..-56881,z=13272..38285
on x=-11791..5760,y=6605..18151,z=-79937..-66958
on x=-78745..-53478,y=-6384..21603,z=33328..43447
on x=-11647..4297,y=-51297..-39620,z=-68835..-51630
on x=44957..74738,y=-52107..-31591,z=-50754..-20193
on x=49128..66486,y=40384..49348,z=37811..57000
on x=-9415..11612,y=62138..77250,z=-39808..-19225
on x=43022..48265,y=-29270..-18003,z=54912..72609
on x=61073..75942,y=23772..50779,z=-18443..-8471
on x=19711..37825,y=-86663..-66575,z=-44099..-11539
on x=-70625..-51166,y=-51005..-31200,z=-1065..17742
on x=-4010..27420,y=-51049..-30136,z=-81071..-57607
on x=39539..53358,y=48896..72499,z=-37961..-18276
on x=-69744..-55405,y=3016..16773,z=31059..59244
on x=72645..90830,y=9662..35184,z=-11778..8330
on x=-85951..-63514,y=-6673..6796,z=7451..38117
on x=7471..20251,y=61529..76452,z=-39012..-9818
on x=-69078..-50527,y=-43522..-4588,z=38725..53374
on x=-57745..-28854,y=11505..29893,z=43025..64123
on x=45049..64089,y=-9047..11687,z=-65374..-33700
on x=-58574..-28971,y=-65419..-36298,z=20545..38072
on x=31144..49945,y=20576..45081,z=45353..68069
on x=43485..47058,y=-15819..8239,z=47656..71281
on x=30310..64068,y=-52330..-49189,z=20615..58823
on x=10985..39489,y=-37486..-4416,z=56402..75593
on x=-49434..-36878,y=-23836..-11446,z=56306..74921
on x=-314..10948,y=-76148..-60466,z=33412..51559
on x=-21095..-5170,y=44156..67554,z=39335..58437
on x=35054..50608,y=-17207..9945,z=57478..77562
on x=76700..94111,y=3239..31169,z=-9233..11309
on x=19172..47556,y=42859..54265,z=48636..74657
on x=12514..34984,y=-95139..-67590,z=-12881..18464
on x=43248..59716,y=48461..69547,z=14418..36210
on x=-53537..-34709,y=-4236..21125,z=-68850..-48516
on x=51576..70978,y=34564..57647,z=-7582..14033
on x=55929..73186,y=30815..60318,z=1123..8161
on x=-49430..-33130,y=53498..83636,z=5961..21504
on x=-25058..-10934,y=8130..16032,z=59535..88291
on x=54508..63719,y=-38792..-3505,z=41594..54442
on x=-83008..-67579,y=16401..38784,z=559..32684
on x=51088..71350,y=34194..46279,z=-25672..-20520
on x=33192..66483,y=53523..77440,z=8893..34380
on x=10432..38321,y=44981..59642,z=-78613..-57165
on x=-75386..-39959,y=36274..70905,z=-3534..18822
on x=37284..54024,y=-48605..-25043,z=38178..57400
on x=43666..60904,y=-69573..-50313,z=1228..14022
on x=44836..52239,y=-73812..-44628,z=8747..11476
on x=12567..30462,y=-50987..-38548,z=-75490..-45187
on x=-3743..17885,y=14797..33449,z=74302..87427
on x=-10131..1059,y=10431..33871,z=60830..94445
on x=74241..82642,y=10664..30287,z=-39666..-16361
on x=-47571..-37590,y=-72880..-46837,z=26914..36238
on x=-20634..-15664,y=-81386..-55314,z=38252..57212
on x=-10769..25632,y=-38330..-25479,z=-86469..-51846
on x=-52366..-31532,y=-38951..-19701,z=-68200..-48096
on x=-91391..-73383,y=-6226..-2393,z=-23459..-13884
on x=-66453..-48137,y=-16047..12247,z=52033..58205
on x=-78002..-59686,y=-26863..1342,z=-37935..-25825
on x=57412..72462,y=4209..10034,z=42905..59241
on x=-39824..-13789,y=74572..83799,z=-9126..938
on x=-87318..-62046,y=-4112..16146,z=-48468..-18506
on x=52062..81928,y=-44777..-16022,z=-32842..-10092
on x=4080..28535,y=23345..46084,z=53861..72105
on x=-66979..-45871,y=-68147..-42671,z=7566..31133
on x=-38515..-26129,y=48888..77629,z=40991..51729
on x=43159..57248,y=-76355..-55745,z=-15613..3855
on x=-76030..-55106,y=-11889..20052,z=-53825..-23308
on x=-7699..17496,y=61322..85822,z=-9796..6871
on x=64070..86192,y=4059..36745,z=7329..27615
on x=-84271..-63368,y=-6021..15316,z=-33204..-3399
on x=61526..82302,y=-50902..-14904,z=-23178..7919
on x=32189..46588,y=9646..30937,z=55611..78681
on x=47017..75376,y=15373..38681,z=21408..61169
on x=11771..34462,y=-42097..-22034,z=-76227..-56146
on x=27679..50992,y=31806..43377,z=-64943..-40121
on x=-42568..-18600,y=-66508..-32270,z=-68428..-56085
on x=-38559..-25978,y=-74373..-49507,z=38153..43644
on x=54506..79657,y=-886..31672,z=25668..48126
on x=9873..30581,y=-72158..-39754,z=33711..70305
on x=60584..81760,y=-25395..-14305,z=-4689..6933
on x=-61583..-39671,y=61876..78264,z=5996..29134
on x=-11227..4420,y=-88290..-75775,z=3808..31201
on x=-32012..-12442,y=62534..87155,z=22450..46606
on x=-30304..-6601,y=59633..78721,z=-16517..6028
on x=34564..44476,y=-10753..22234,z=52694..86520
on x=59169..66998,y=27756..44785,z=-43080..-3583
on x=-27084..-12634,y=-63506..-53448,z=35814..64722
on x=-30261..-24473,y=71776..74470,z=-38078..-6129
on x=-76680..-59242,y=-5625..23186,z=-38628..-31779
on x=-24354..-1094,y=65524..74870,z=-46947..-28760
on x=6381..19205,y=-21832..-134,z=63608..91042
on x=-77406..-67325,y=-20866..3544,z=-32513..-15701
on x=50739..67600,y=-48357..-29266,z=-35782..-13620
on x=-26498..3497,y=-68467..-33238,z=-82068..-60526
on x=5303..17328,y=-69256..-39732,z=-65003..-43949
on x=30811..38275,y=-5244..28156,z=-89920..-66878
on x=49983..66724,y=-5700..17938,z=43926..67644
on x=48153..65342,y=1443..18137,z=38195..74140
on x=-3371..24272,y=-39975..-23884,z=-73872..-68667
on x=30479..52748,y=8131..25801,z=45267..64868
on x=-35613..-6735,y=-87508..-56803,z=14685..34487
on x=-66310..-39666,y=14520..33374,z=-68537..-39707
on x=17951..52025,y=-8160..-5345,z=-79138..-61496
on x=-1671..3805,y=71825..94226,z=-11540..13961
on x=-71567..-54379,y=-4284..16740,z=-49494..-35565
on x=71079..92964,y=-23492..11151,z=-8224..17310
on x=28796..45041,y=-61839..-34861,z=34857..61503
on x=19616..32719,y=-22919..-8428,z=59689..91717
on x=15504..42899,y=-56230..-24121,z=52605..77115
on x=-46427..-13850,y=62173..85906,z=-39193..-27967
on x=-1655..11432,y=-66359..-36716,z=53026..70510
on x=-93500..-60433,y=-30491..-19220,z=-31229..7390
on x=15158..35070,y=-67724..-63611,z=-55273..-41077
on x=-3879..33093,y=63097..89650,z=-24701..-8538
on x=-42357..-28886,y=-49679..-36984,z=50959..69326
on x=-67920..-50177,y=29562..45206,z=-28055..-4767
on x=-51930..-29074,y=9566..13838,z=-73091..-65590
on x=-91732..-71534,y=-1122..13959,z=89..26097
on x=-11629..11373,y=27134..54329,z=-71569..-65324
on x=28686..31495,y=-24896..-8526,z=69386..76193
on x=-25898..-17740,y=16297..30293,z=-82095..-63517
on x=19891..49170,y=1640..19388,z=-83115..-67337
on x=-59053..-35968,y=50405..63352,z=-12441..-1627
on x=-44391..-30528,y=71461..85157,z=12939..24554
on x=-82526..-54436,y=22445..37378,z=15340..23433
on x=-21979..3903,y=-44779..-23865,z=59478..87253
on x=-87494..-66262,y=-23909..-17222,z=3558..22311
on x=-77940..-58402,y=-30029..495,z=-64622..-29724
on x=14709..29901,y=-16722..-914,z=-94879..-66533
on x=61478..75898,y=44399..49547,z=-15944..-1037
on x=-9..13538,y=-23689..-1309,z=58940..95323
on x=-9215..21382,y=-81729..-72116,z=29904..45795
on x=-37777..-16044,y=-72607..-52593,z=7987..27375
on x=-16900..-9231,y=6330..23131,z=-93978..-67446
on x=-13299..5260,y=66662..88206,z=-48497..-16352
on x=54138..60848,y=49718..64461,z=-28411..-12051
on x=9063..12208,y=43714..57296,z=-64191..-51897
on x=17239..26271,y=48738..64892,z=51926..72290
on x=-18599..4626,y=-79543..-66159,z=5171..22775
